순위,제목,저자,출판사,요약
42,R Cookbook,폴 티터,인사이트,"『R Cookbook』은 통계 프로그램 R을 사용하는 독자들이 마주치는 여러 문제와 해결 방법을 알려준다. 행렬, 목록, 팩터, 데이터 프레임 같은 자료의 구조와 확률, 확률 분포, 랜덤 변수를 다루며, 일반 통계와"
43,SPSS/AMOS 통계분석방법 논문작성에 필요한  개정증보판  양장본 HardCover ,송지준,21세기사,『SPSS/AMOS 통계분석방법』은 논문을 작성하는 독자들에게 통계분석이 더 이상 일부사람들의 전유물이 아닌 대중화가 될 수 있도록 구성한 교재이다. 이 책은 통계학 이론에 대한 설명은 최대한 줄이고 논문을
44,파이썬을 이용한 빅데이터 분석,유성준,21세기사,"이 책에서는 기계학습 개론 책에서 흔히 등장하는 복잡하고 쉽지 않은 수식을 가급적 빼고 예제를 통해 개념을 설명하고자 한 것이 특징입니다. 즉, 기계학습 이론을 발전시키는 관점보다는 기계학습이라는 도구를"
45,Basic Spss 매뉴얼 SPSS 25를 이용한  양장본 HardCover ,이학식,집현재,"본서는 모두 4부 12장으로 구성되어 있다.  Part 1은 자료분석을 위한 준비단계로서 변수 및 데이터 다루기를 설명한다.  Part 2는 기초분석으로 기술통계와 표 및 도표 다루기, 그리고 통계학의 기초지식을 그"
46,통계학의 이해 연습문제 해답집 8판 ,이용구,율곡출판사,▶ 이 책은 통계학에 대해 다룬 교재입니다. 통계학의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.
47,구조방정식 모형의 기본과 확장 양장본 HardCover ,김수영,학지사,"이 책에서는 독자들이 구조방정식 모형의 전반적인 원리를 최대한 잘 이해하도록 돕고자 한다. 이러한 관점에서 필요한 수식을 사용하는 것을 주저하지 않지만, 복잡한 모형의 표현 방식이나 수리적인 증명 등은"
48,구조방정식모형: 원리와 적용 양장본 HardCover ,Rex B. Kline,학지사,▶ 이 책은 구조방정식모형을 다룬 이론서입니다.
49,만만한 통계: Excel 활용,닐 샐카인드,한빛아카데미,"이 책은 여러분이 지금까지 봤던 다른 통계 책들과는 다릅니다. 대부분의 사람들이 통계를 매우 어렵다고 생각하는데, 오히려 이 때문에 통계에 대한 자신의 능력을 발휘하지 못하곤 합니다. 
그래서 이 책에서는"
50,SAS를 활용한 통계자료분석 실습 3판 ,정기문,자유아카데미,"첫째, 설명이나 표현하는 부분이 어색하거나 적절하지 못했던 부분과 오탈자를 수정하였다. 둘째, SAS를 활용하여 다양한 확률분포를 다루는 내용을 3장에 새롭게 추가하였다. 셋째, 분석 결과에 유용한 그래프를"
51,프로그래머를 위한 기초 해석학,나카이 에츠지,길벗, 
52,파이썬을 이용한 데이터 분석 2/e,아르만도 판당고,에이콘출판,"NumPy, SciPy, Pandas, matplotlib, scikit-learn 등의 라이브러리를 이용해 IPython 및 Jupyter-notebook 기반의 파이썬 환경에서 작업을 하게 된다. 선형 대수, 데이터 시각화, 시계열 데이터, 데이터베이스와"
53,메이저리그 야구 통계학 데이터 과학 ,김재민,에이콘출판,"4차 산업의 거대한 물결로 빅데이터 같은 대형 데이터의 활용 가치는 더욱 높아지고 있지만, 수학이라는 진입장벽 때문에 데이터 분석에 접근하지 못하는 어려움이 반복되고 있다. 한국에서 가장 인기 있는 프로"
54,파워 BI와 엑셀 파워 피봇을 사용한 데이터 분석 데이터 과학 ,알베르토 페라리,에이콘출판, 
55,처음 배우는 데이터 과학,필드 케이디,한빛미디어,"프로그래밍 경험은 많지만 통계나 데이터 분석을 잘 모르거나, 반대로 이론은 잘 알지만 실제로 데이터를 다루는 프로그래밍 경험이 없다면 데이터 과학을 어떻게 공부해야 할지 막막하기 마련입니다. 이 책은"
56,가볍게 시작하는 통계학습,Gareth James,루비페이퍼,이 책 [가볍게 시작하는 통계학습]은 기계학습의 필수 요소인 통계적 학습의 이론적 개념과 활용 기법을 소개하고 다양한 모델링과 예측 기법을 어떻게 적용할 수 있는지를 예제와 Lab을 통해 보여준다. 각 장의
57,"이토록 쉬운 통계&R 시작의 기술, 이토록 쉬운 시리즈 1 ",임경덕,루비페이퍼,"오늘 통계를 처음 시작한 사람도 데이터 분석까지!
<<이토록 쉬운 통계 & R>>은 실전 데이터 분석에 꼭 필요한 통계의 핵심 만 꼭꼭 눌러 담은 것은 물론 과도한 수식에 체하지 않도록 수식을 최소 화하였으며"
58,시계열 자료 분석 R프로그램에 기반한 ,이재길,황소걸음 아카데미,"『시계열 자료 분석』은 R 프로그램을 활용한 시계열 자료 Time series  분석으로 구성하였다. 제1부는, 서론으로 시계열 자료의 형태와 구분, 내용적 특성 등을 검토하고 제2부는, 시계열 자료 분석의 탐색적"
59,R 메타분석 쉽게배우기,유성모,황소걸음 아카데미, 
60,ELS 평가를 위한 몬테카를로 시뮬레이션과 유한차분법 파이썬 활용,한현수,지오북스,▶ 이 책은 전산통계/수치해석을 다룬 이론서입니다. 전산통계/수치해석의 기초적이고 전반적인 내용을 학습할 수 있습니다
61,앤디 필드의 유쾌한 R 통계학,앤디 필드,제이펍,"R과 함께 떠나는 발칙하고도 유쾌한 통계학 여행!
딱딱하고 지루한 통계학 책은 가라! 통계, R, 그리고 영국식 코미디의 기상천외 콜라보!

통계 분야의 초베스트셀러 《Discovering Statistics Using SPSS》"
