순위,제목,저자,출판사,요약
202,데이터 인문학 RealTime 148 ,김택우,한빛미디어,"4차 산업혁명 시대의 기반은 데이터이다. 데이터 없이는 인공지능, 빅데이터, 사물인터넷 IoT , 블록체인 등 4차 산업혁명의 핵심 기술 또한 존재하지 못했다고 해도 과언이 아닐 정도다. 이러한 흐름은 데이터의"
203,엑셀만 알아도 할 수 있는 데이터 과학,우와후지 이치로우,한빛미디어,"데이터의 중요성이 나날이 커져감에 따라 데이터를 효율적으로 수집하고 분석하는 것이 개인의 생산성을 좌우하는 핵심 역량이 되었습니다. 제대로 된 분석을 하기 위해서는 데이터를 이해하는 것에서부터 시작해,"
204,공학도를 위한 매트랩 문제해결 학습중심의  5판 ,Holly Moore,퍼스트북,▶ 이 책은 공학도를 위한 매트랩에 대해 다룬 도서입니다. 매트랩의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.
205,경제분석을 위한 STATA 2판 ,우석진,지필미디어,▶ 이 책은 경제분석을 위한 STATA에 대해 다룬 이론서입니다. STATA의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.
206,고급통계분석 SPSS를 활용한  CD1장포함  양장본 HardCover ,노형진,지필미디어,▶ 이 책은 고급통계분석에 대해 다룬 도서입니다. 고급통계분석에 대한 내용을 학습할 수 있도록 구성했습니다.
207,회귀분석 SPSS를 활용한  CD1장포함  양장본 HardCover ,노형진,지필미디어,▶ 이 책은 SPSS를 활용한 회귀분석에 대해 다룬 도서입니다. 회귀분석에 대한 내용을 학습할 수 있도록 구성했습니다.
208,STATA Version15  정책분석을 위한  양장본 HardCover ,우석진,지필미디어,▶ 이 책은 STATA Version15 에 대해 다룬 도서입니다. STATA Version15 의 기초적이고 전반적인 내용을 확인할 수 있도록 구성했습니다.
209,논문작성을 위한 R 통계분석 쉽게배우기,유성모,황소걸음 아카데미,『논문작성을 위한 R 통계분석 쉽게배우기』는 실증기반 연구를 진행하는 연구자를 위한 R-통계분석 안내서다. 통계모형을 비롯한 수학적인 기호 및 수식에 익숙하지 않은 연구자들을 위하여 수학적인 기호는
210,빅데이터를 활용한 범죄 예측,송주영,황소걸음 아카데미,"2002년에 개봉한 영화 '마이너리티 리포트'가 현실로. 
소셜 빅데이터를 학습한 머신러닝으로 미래의 범죄를 예측한다.
현대사회의 범죄 현상은 과거에 비해 보다 복잡하고 다양한 형태로 나타나고 있다. 따라서"
211,R 프로그램에 기반한 베이지안 통계학,이재길,황소걸음 아카데미,"이 책에서 기술된 내용에 대해 개략적으로 그 내용을 요약하면 다음과 같다. 

제1부에서는, 이 책의 서론에 해당되는 내용으로, 베이지안 통계학의 구조, 확률분포와 베이즈 정리, 그리고 베이즈 추정과 단일"
212,신입 탐정의 데이터 분석 입문,이시다 모토히로,길벗,"[신입 탐정의 데이터 분석 입문]은 평균 시뮬레이션, 히스토그램 시각화, 예측에 도움이 되는 회귀 분석, 로지스틱 회귀 분석, 웹 사이트 리뷰 정보에서 텍스트 마이닝하기 등… 통계 도구 R을 이용하여 어려운"
213,사용자경험 리서치 매뉴얼,김승인,지앤선,지금까지의 사용자경험 user experience 은 관찰 또는 면접으로 자료를 수집하고 내러티브 narrative  자료의 내용 분석과 기술을 주로 하는 질적 연구 qualitative research  위주였다. 질적 연구는 사용자경험의
214,하이 퍼포먼스 스파크 제이펍의 클라우드 시리즈 16 ,홀든 카로,제이펍,"아파치 스파크의 성능 최적화를 위한 코드 작성법!

모든 것이 잘 동작할 때 아파치 스파크는 놀라운 성능을 보여주지만, 아직 기대한 만큼의 성능을 보지 못했거나 스파크를 실무에 적용할 만한 확신을 얻지"
215,구글 애널리틱스를 활용한 데이터분석 입문,김진,마소캠퍼스,『구글 애널리틱스를 활용한 데이터분석 입문』은 디지털 마케팅 프로세스를 전개해나가는 다양한 상황에서 데이터분석이 어떻게 활용되는지 실전 실무 사례를 중심으로 한 단계별 실전 가이드 북이다. 최고의
216,R로 하는 빅데이터 분석: 데이터 전처리와 시각화,김권현,숨은원리,"이 책은 쿡북 Cookbook 이 아니다!

물론 프로그래밍 언어으로 원하는 목적을 달성하는 가장 빠른 방법은 이미 작동하는 소스 코드를 실행하는 것이다. 하지만 소스 코드를 고쳐야 한다면!?!

그 때부터는"
217,토닥토닥 래피드마이너 중급편,김양석,플랜투,"데이터 분석은 이제 모든 비즈니스에서 필수적인 요소가 되었다. 현재 데이터 분석을 수행하는 데이터 과학자에 대한 수요가 많지만, 공급이 원활하지 않아 스킬 갭이 발생하고 있다. 또한 데이터 분석 결과를"
