순위,제목,저자,출판사,요약
34,시나공 워드프로세서 필기 2020  시나공시리즈 18 ,길벗R&D,길벗,"378개 필드 중 280개 필드! 합격에 필요한 내용만 골라 듣는 시나공식 맞춤 동영상 강의! 

[2020 시나공 워드프로세서 필기]는 실제 시험의 출제 경향을 친절하게 짚어주고, 자주 시험에 나온 내용은 확실히"
35,워드프로세서 필기 기출문제집 2020  시나공 ,길벗R&D,길벗,"최근 5년간 출제된 최신 기출문제 15회분을 수록하고 문제마다 시험에 출제된 비율에 따라 A, B, C, D 등급을 지정하여 중요도를 표시했습니다. 개념과 함께 더 공부해야 할 문제, 문제와 지문을 외워야 할 문제,"
36,컴퓨터활용능력 1급 실기 2020  시나공 기출문제집  시나공시리즈 30 ,길벗R&D,길벗,"‘기출유형별 기능 정리표’가 있어 필요한 부분만 집중적으로 학습할 수 있고, 자동 채점 프로그램이 들어 있어 간단하게 오답 체크를 하여 틀린 부분만 찾아서 효과적으로 학습할 수 있도록 도와줍니다."
37,정보처리기사 필기 2020  수제비 ,NCS 정보처리기술사 연구회,건기원,"- NCS 반영! 출제기준 전면개편 
- NCS 기반 반영 기출문제 분석 150제, 예상문제 수록 400제  
- 수제비는 합격만을 위한 다양한 학습 콘텐츠 제공 첫째! NCS 기반 명견만리 모의고사 수록 둘째! 최적의"
38,컴퓨터활용능력 1급 실기 기출문제집 2020  이기적  전2권 ,박윤정,영진닷컴,‘2020 이기적 컴퓨터활용능력 실기 기본서’가 출간되었습니다. 본 도서는 컴퓨터활용능력 1급 실기 응시자를 위한 도서로 시험에 나오는 문제만을 수록하여 짧은 시간에 자격증 대비가 가능하도록 한 완벽
39,컴퓨터활용능력 1급 필기 기본서 2020  이기적  전3권 ,홍태성,영진닷컴,"본 도서는 필기시험을 준비하는 수험생을 위한 기본서로 다년간의 출제 경향을 철저히 분석하여 핵심 이론인 기본서 이론서  3권과 기출문제집 1권으로 분권하였습니다. 
1권/2권/3권에서는 무료 동영상 강의와"
40,컴퓨터활용능력 2급 필기 기출문제집 2020  이기적 ,영진정보연구소,영진닷컴,본 도서는 컴퓨터활용능력 2급 필기 시험을 준비하는 수험생이 이론을 충분히 숙지한 후 시험 전 마지막으로 실력을 점검할 수 있도록 최신 기출문제 22회분과 핵심이론 PDF 제공 을 알차게 엮은
41,시나공 정보처리산업기사 필기 2020  시나공시리즈 22 ,길벗R&D,길벗,"[2020 시나공 정보처리산업기사 필기]는 실제 시험의 출제 경향을 친절하게 짚어주고, 자주 시험에 나온 내용은 확실히 강조하여 혼자서도 충분히 공부할 수 있게 도와줍니다. 지금까지 출제된 모든 기출문제를"
42,ITQ 엑셀 ver.2010 2020  이기적 ,영진정보연구소,영진닷컴,"본 도서는 최신 출제기준을 적용한 도서로, ITQ 엑셀 시험 경향을 분석하여 수험생들이 혼자서도 학습할 수 있도록 한 완벽 대비서입니다. 엑셀 ver.2010을 기준으로 작성되었으며, 꼼꼼한 이론과 함께 유형을"
43,워드프로세서 실기 기본서 2020  이기적  스프링 ,송재현,영진닷컴,본 도서는 ‘워드프로세서 실기’를 준비하는 수험생들이 실제 출제되는 문제를 연습하여 합격에 이를 수 있도록 구성된 워드프로세서 실기 수험서입니다. 시행처의 출제 유형을 빠짐없이 수록하고 설명하여
44,GTQ 환상의 콤비 1급 세트 이기적  전2권 ,송재현,영진닷컴,본 도서는 GTQ 포토샵과 일러스트를 준비하는 수험생들이 효과적으로 시험에 대비할 수 있도록 구성된 기본서입니다. 일러스트 프로그램을 능숙하게 다뤄야 하는 시험에 맞서 시험장 입소 전 준비해야 할 GTQ
45,전산회계운용사 2급 필기 이기적  개정판 ,전민영,영진닷컴,본 도서는 전산회계운용사 2급 자격시험을 준비하는 분들을 위한 자격시험 대비서입니다. 시행처의 출제기준을 분석해 시험에 나오는 이론을 꼼꼼히 수록하였으며 독학하시는 분들을 위해 무료동영상 강의를
46,전산회계 2급 이론편+실무편+최신 기출 2020  EBS 에듀윌 ,박진혁,에듀윌,"〈2020 EBS 에듀윌 전산회계 2급: 이론편+실무편+최신 기출〉은 저자의 수년간의 강의와 세무사로서의 실무경험에서 나온 노하우를 모두 담고 있다. 또한, 기출을 분석하여 시험에 출제될 내용을 빠짐없이"
47,전산회계 2급 이론+실기+기출문제 2019  해커스 ,이남호,해커스금융,"1. 최신 기출 경향을 완벽 반영한 2019년 최신개정판
 
2. 이론과 실기를 한 번에 잡는 이론+실기 연계학습
 
3. 따라만 해도 누구나 합격 가능한 실기 KcLep 케이렙 프로그램  구성
1  출제경향 파악을 통해"
48,ITQ 파워포인트 ver.2010 2020  이기적  스프링 ,영진정보연구소,영진닷컴,"본 도서는 최신 출제기준을 적용한 도서로, ITQ 파워포인트의 시험 경향을 분석하여 수험생들이 혼자서도 학습할 수 있도록 한 완벽 대비서입니다. 파워포인트 ver.2010을 기준으로 작성되었으며, 꼼꼼한 이론과"
49,CDT 코딩창의개발능력 3급 엔트리 ,해람북스 기획팀,해람북스 구 북스홀릭 ,"코딩창의개발능력[Coding creative Development Test]은!!

논리적 사고와 창의적 문제 해결 능력을 갖춘 인재 양성의 일환으로 S/W 코딩 프로그래밍 을 기반으로 한 창의적이고 절차적인 문제 해결 능력을"
50,정보처리기능사 필기 기본서 2020  이기적 ,홍태성,영진닷컴,‘이기적 정보처리기능사 필기 기본서’가 출간되었습니다. 본 도서는 필기 시험을 준비하는 수험생을 위한 기본서로서 다년간의 출제 경향을 철저히 분석하여 핵심 이론인 기본서 이론서 와 기출문제로
51,이기적 컴퓨터활용능력 2급 필기 기본서 별책-기출문제  2020  전2권 ,홍태성,영진닷컴,"본 도서는 필기시험을 준비하는 수험생을 위한 기본서로 다년간의 출제 경향을 철저히 분석하여 핵심 이론인 기본서 이론서  2권과 기출문제집 1권으로 분권하였습니다. 
1권/2권에서는 무료 동영상 강의와 함께"
52,워드프로세서 필기 최신 문제집 2020  이기적 ,이상미,영진닷컴,‘2020 이기적 워드프로세서 필기 최신 문제집’이 새롭게 출간되었습니다.  본 도서는 이론을 충분히 공부한 수험생이 짧은 시간을 투자하여 합격에 이를 수 있도록 구성된 워드프로세서 필기 최신 문제집입니다.
53,정보처리산업기사 실기 기본서 2020  이기적  전3권 ,김명주,영진닷컴,산업기사 시험이 바뀌기 전에 얼른 따버립시다!! 정보처리기능사 실기와 정보처리기사 시험이 대대적으로 바뀐다는 공지가 있었습니다. 그에 따라 정보처리산업기사 실기 시험도 조만간 바뀔 것이라고 예상할 수
54,웹디자인기능사 필기 절대족보 2020  이기적 ,윤미선,영진닷컴,본 도서는 웹디자인기능사 필기 시험을 준비하는 수험생들을 위해 짧은 시간 동안 효과적으로 공부할 수 있도록 구성되어 있습니다. [1권] 핵심이론에 수록된 핵심이론과 무료 동영상 강의를 통하여
55,전산회계 1급 이론편+실무/기출편 2019  에듀윌 ,김성수,에듀윌,"전산세무회계1위
회알못도 독학으로 3주면 합격!

<2019 EBS 에듀윌 전산회계 1급>은 저자의 수년간의 강의와 세무사로서의 실무경험에서 나온 노하우를 모두 담고 있다. 또한, 기출을 분석하여 시험에 출제될"
56,GTQ 일러스트 1급 이기적 ,일마,영진닷컴,본 도서는 GTQ 일러스트를 준비하는 수험생들이 효과적으로 시험에 대비할 수 있도록 구성된 기본서입니다. 일러스트 프로그램을 능숙하게 다뤄야 하는 시험에 맞서 시험장 입소 전 준비해야 할 GTQ 시험에 대해
57,ITQ 한글 ver.2010 2020  이기적 ,영진정보연구소,영진닷컴,"본 도서는 최신 출제기준을 적용한 도서로, ITQ 한글의 시험 경향을 분석하여 수험생들이 혼자서도 학습할 수 있도록 한 완벽 대비서입니다. 한글 ver.2010을 기준으로 작성되었으며, 꼼꼼한 이론과 함께 유형을"
58,네트워크 관리사 1. 2급 필기 이론+ 기출문제집 이기적  개정판 ,임호진,영진닷컴,본 도서는 네트워크관리사 1급과 2급 필기 시험을 준비하는 분들이 효과적으로 시험에 대비할 수 있도록 구성된 도서입니다. 네트워크관리사 필기시험의 출제 기준과 출제된 기출문제를 자세히 분석하여 핵심
59,컴퓨터활용능력 1급 필기 2020  이기적 핵심쏙쏙! 절대족보   전2권 ,서승완,영진닷컴,본 도서는 컴퓨터활용능력 1급 필기 시험을 준비하는 수험생들이 짧은 시간 동안 효과적으로 공부할 수 있도록 구성되어 있습니다. [1권] 핵심이론에 수록된 핵심이론과 무료 동영상 강의를 통하여 컴퓨터활용능력
60,사무자동화산업기사 필기 2020  시나공 총정리 ,길벗R&D,길벗,"시험 날짜는 다가오는데 공부할 시간이 없다면? 시나공 총정리 시리즈!
합격에 꼭 필요한 핵심 개념을 짧게 공부하고 기출문제로 바로 확인시켜 지루하지 않게 학습할 수 있습니다.

<핵심요약 & 대표기출문제"
61,컴퓨터활용능력 2급 실기 2020  시나공 기출문제집  시나공시리즈 31 ,길벗R&D,길벗,"‘기출유형별 기능 정리표’가 있어 필요한 부분만 집중적으로 학습할 수 있고, 자동 채점 프로그램이 들어 있어 간단하게 오답 체크를 하여 틀린 부분만 찾아서 효과적으로 학습할 수 있도록 도와줍니다."
62,정보보안기사 산업기사  필기 이론서+기출문제 2020  이기적  전2권 ,임호진,영진닷컴,"본 도서는 필기 시험을 준비하는 수험생을 위한 기본서로서 다년 간의 출제 경향을 철저히 분석하여 크게 핵심 이론인 기본서와 기출문제집으로 분권하였습니다. Part를 따라 핵심 이론을 공부하며, 이론을"
63,컴퓨터활용능력 1급 필기 최신 문제집 2020  이기적 ,홍태성,영진닷컴,‘2020 이기적 컴퓨터활용능력 1급 필기 최신 문제집’이 새롭게 출간되었습니다. 본 도서는 컴퓨터활용능력 시험을 가장 효율적으로 준비할 수 있도록 구성되었습니다. 최신 기출문제부터 다년간의 기출문제
64,전산세무 1급 2019  이패스 ,유슬기,이패스코리아,"전산세무 1급을 공부하는 수험생이 본 교재만으로도 충분한 시험대비가 가능하도록 필수이론을 빠짐없이 
요약하였으며, 최근 기출문제를 분석하여 최신출제경향에 맞는 문제들만 수록하였습니다.

[ 텍스트"
65,전산세무 2급 이론편+실무/기출 2019  EBS ,김성수,에듀윌,"전산세무회계1위
회알못도 독학으로 4주면 합격!

<2019 EBS 에듀윌 전산세무 2급>은 저자의 수년간의 강의와 세무사로서의 실무경험에서 나온 노하우를 모두 담고 있다. 또한, 기출을 분석하여 시험에 출제될"
