순위,제목,저자,출판사,요약
71,NoSQL 핵심 가이드 빅 데이터 시대를 위한 ,Tatsuya Sasaki,로드북,"『NoSQL 핵심 가이드』는 대표적인 NoSQL 데이터베이스를 다루며 그 특징을 파악할 수 있도록 구성한 책이다. NoSQL의 대표적인 key-value형, 컬럼형, 문서형의 큰 범주 개념을 확실하게 정리하였으며, memcached,"
72,SQL 튜닝의 시작 : SQL의 이해와 효율적인 작성법,박성호,엑셈,"SQL의 이해와 효율적인 작성법『SQL 튜닝의 시작』. SQL 튜닝의 기초개념부터 응용까지 설명한 책이다. SQL 튜닝이란 튜닝 대상이 되는 SQL을 이해하고, SQL이 가진 정보를 치밀하게 분석하여 얻어지는 결과일"
73,SQL 튜닝의 시작 : SQL 튜닝 방법론,박성호,엑셈,"SQL 튜닝은 근거와의 싸움이다. SQL 튜닝에서의 근거는 튜닝 대상 추출 기준에서부터 시작된다. 이 책 [SQL 튜닝의 시작]은 어디에서 어떻게 데이터를 추출해야 하는지, 어떤 근거로 SQL 을 검증할 수 있는지를"
74,"Oracle, PostgreSQL, MySQL Core Architecture EXEM Deep Internal Series 1  양장본 HardCover ",권건우,엑셈,"저자들은 빅데이터 시대의 새로운 데이터 플랫폼을 모색하기 위한 첫 번째 여정으로 기존의 주요 RDBMS인 Oracle, PostgreSQL, MySQL 이 세 가지 DB를 선택하여 그 내부 동작원리를 심층적으로 비교 규명하고"
75,데이터 디자인,페어 몰러럽,비즈앤비즈,『데이터 디자인: 정보 디자인과 시각화 원칙』은 데이터 시각화를 200개의 그림과 함께 생생하고 종합적으로 소개한다. 이 책은 사실 정보를 명료하고 효과적으로 표현하는 데 관심 있는 누구에게든 도움이 될
76,클라우드 인프라와 API의 구조 그림으로 배우는 ,히라야마 쯔요시,로드북,"『클라우드 인프라와 API의 구조』는 클라우드, 그 중에서도 IaaS와 같은 인프라 부문에 종사하는 엔지니어를 위한 책이다. 특정 클라우드 서비스에 종속된 기능이 아닌 좀더 거시적인 관점에서 클라우드 인프라를"
77,오라클 11g 부터 12c 완벽 바이블 한 권으로 끝내는  Follow me 3 ,최원준,아티오,OCP 자격증 준비를 위한 필독서『오라클 11g 부터 12c 완벽 바이블 세트』. 이 책은 기본적으로 12c 버전을 통해 새롭게 소개되는 멀티테넌트 아키텍처 이해가 중요한 포인트가 되겠지만 사실상 11g와 12c 버전을
78,링크드 데이터 데이터사이언스총서 ,조명대,커뮤니케이션북스,"데이터가 계속 연결되면 그 가치가 증가한다. 네트워크 효과를 발휘할 수 있는 플랫폼이 필요하다. 이때 더 좋은 효과를 내게 하기 위해서는 데이터의 품질 향상, 데이터 구조화, 의미 있는 연결을 거쳐야 한다."
79,한국어 텍스트 감성 분석 데이터사이언스총서 ,남길임,커뮤니케이션북스,『한국어 텍스트 감성분석』은 감성 분석과 관련한 하위 주제와 쟁점을 포괄적으로 소개한다. 특히 한국어 텍스트를 예시로 함으로써 한국어 감성 분석에 대한 이해의 폭을 넓힌다.
80,데이터 사이언스 개론,김화종,홍릉과학출판사,▶ 이 책은 데이터 사이언스에 대해 다룬 이론서입니다. 데이터 사이언스의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.
81,데이터베이스 시스템 7판 ,Elmasri Navathe,홍릉과학출판사,▶ 이 책은 DB프로그래밍을 다룬 이론서입니다. DB프로그래밍의 기초적이고 전반적인 내용을 학습할 수 있습니다.
82,데이터베이스 개론과 실습 오라클로 배우는 ,박우창,한빛아카데미,"우리 주변에서 쉽게 볼 수 있는 ‘서점’을 예로 들어 데이터베이스를 설명한다. 관계 모델, SQL, 데이터 모델링, 정규화, 트랜잭션 등의 개념을 실습과 함께 익히고, 마지막에는 워크북으로 배운 내용을"
83,관계형 데이터베이스 실전 입문 데이터베이스 & 빅데이터 시리즈 14 ,오쿠노 미키야,위키북스,"『관계형 데이터베이스 실전 입문』은 좀 더 효율적으로 DB를 설계하고, 적절하게 SQL을 구사할 수 있도록 필요한 지식을 모아 둔 책이다. SQL과 관계형 모델 간의 관계부터, 술어 논리, 정규화 이론, SELECT에"
84,MySQL 데이터베이스와 클라우드 인공지능 사물인터넷을 위한 ,김경신,복두출판사, 
