순위,제목,저자,출판사,요약
33,쇼핑몰 상품 사진 촬영 한 권으로 끝내는 ,장진수,정보문화사,"쇼핑몰과 오픈마켓을 운영하는 분들을 위한 
상품 사진 촬영의 기본 교과서

이 책은 전문 포토그래퍼들이나 하이 아마추어 분들이 더 많은 역량 발휘를 위해서 보는 책이 아닙니다. DSLR 또는 미러리스에"
34,서비스 경험 디자인,김진우,안그라픽스,『서비스 경험 디자인』은 사용자 중심을 넘어 서비스를 둘러싼 모든 이들이 중요시되는 디자인을 다룬다. 책에서 정의한 서비스 경험 디자인은 서비스를 사용하는 사람과 서비스를 제공하는 사람들에게 최적의
35,스케치 개정판 ,크리스티안 크래머,웹액츄얼리코리아,"미래 지향적이고 효율적인 UX/UI 디자인 도구 - 스케치 

최신 버전으로 전면 개정! 

숙련된 디자이너의 작업을 옆에서 따라 하며 배울 수 있는 책! 

스케치의 모든 기능을 예시를 통해 설명하기 때문에"
36,Do it! 프런트엔드 웹 디자인 입문,고경희,이지스퍼블리싱,"‘웹 사이트 이 기능은 도대체 어떻게 만들지?’ 당신이 만들고 싶은 그 기능, 더 이상 인터넷 검색해서 짜깁기하지 말고 이 책을 보자. 유명 웹 에이전시 열에 아홉은 사용한다는 반응형 웹, 패럴렉스 스크롤링,"
37,쇼핑몰 상세페이지 디자인 가이드북 개정증보판 ,김경은,영진닷컴,"쇼핑몰의 전체 디자인이 고객과의 첫인상이라면, 상세페이지는 고객이 쇼핑몰을 평가하는 척도가 된다. 같은 가격의 같은 물건이라면 이 물건을 소개하는 컨셉과 마케팅이 구매를 좌우하기 때문이다. 쇼핑몰의"
38,쇼핑몰 창업노트,황윤정,성안당,"모바일 쇼핑몰부터 정부 창업 지원까지 《쇼핑몰 창업노트》. 창업을 할 때 가장 필요한 게 무엇일까? O2O Online to Offline , O4O Online for Offline  스타트업이 뜨듯이 이제는 온라인, 한 발 앞서 모바일"
39,한 권으로 끝내는 쇼핑몰 창업&운영 최신  개정판 ,고은희,정보문화사,"“인터넷 쇼핑몰 창업”
준비하고는 있지만 이게 맞는지, 잘하고 있는지, 
어디서부터 어떻게 시작해야 할지 고민하고 계신가요?

이 책은 인터넷 창업의 시행착오를 “확~!” 줄여 초보 사장님들에게 대박"
40,About Face 4 인터랙션 디자인의 본질 4판  UX 프로페셔널 시리즈 ,앨런 쿠퍼,에이콘출판,"『About Face 4 인터랙션 디자인의 본질』은 퍼소나, 목표 지향 디자인 등 지난 세 판이 개척한 개념과 인터랙션 디자인의 본질을 그대로 원용하면서, 아이폰과 안드로이드 이후 모바일과 스마트기기 시장의"
41,사용자 경험의 요소 UX insight 10 ,제시 제임스 개럿,인사이트,변하지 않는 UX디자인의 원리 『사용자 경험의 요소』. 이 책은 J. J. 개럿의 UX 요소 모델을 통해 간결하고 명쾌하게 설명한다. UX 분야에서 필수 원리로 자리잡은 '사용자 경험의 요소' 모델은 제품 및 서비스
42,마이크로인터랙션 UX insight ,댄 새퍼,인사이트,"『마이크로인터랙션』은  '디테일'에 집중하는 디자인을 말한다. 사용자가 의식하지 못하더라도, 잘 디자인된 세부 항목들은 제품과 서비스를 좀 더 매력적으로 느끼게 만들 수 있다. 이 책은 좋은 것과 더 좋은"
