순위,제목,저자,출판사,요약
58,실전 PHP 웹 프로그래밍 라라벨로 배우는 ,김주원,제이펍,"기존 5.x 버전보다 눈에 띄는 성능 향상을 보인 PHP 7과 PHP를 기반으로 한 웹 개발 프레임 워크인 ‘라라벨’ 프레임워크에 대해 기초부터 실무에 가까운 코드까지 모두 훑어볼 수 있는 책으로, 단순히"
59,타입스크립트 퀵스타트,정진욱,루비페이퍼,이 책은 자바스크립트 개발자가 타입스크립트를 빠르게 배워서 바르게 적용할 수 있도록 합니다. 타입스크립트 개발 방법은 기존 자바스크립트와 어떤 점이 다른지 그리고 타입스크립트 소스를 컴파일하면 어떤
60,AWS Lambda 인 액션 빠른 서버리스 앱 개발을 위한  아이러브클라우드 14 ,다닐로 포치아,제이펍,"이 책은 샘플 예제를 통해 이벤트 기반 애플리케이션 개발 방법을 안내한다. 그리고 AWS Lambda에 대한 기본 소개부터 모바일 앱이나 웹 페이지에서 람다 함수를 부르는 일반적 예제와 패턴도 설명한다. 나아가,"
61,커피 한 잔 마시며 끝내는 Vue.JS,김영훈,비제이퍼블릭,이 책에서는 Vue.JS에 대한 API뿐만 아니라 어떻게 활용하면 되는지에 대해 효과적으로 설명한다. 이러한 활용 예제는 실전 애플리케이션을 구축해나가는 과정을 통해 쉽고 효과적으로 학습한다. 그뿐만 아니라
62,Django 한 그릇 뚝딱,문범우,비제이퍼블릭,"이 책에서는 빠른 생산성과 쉬운 내용으로 주목받고 있는 언어인 파이썬 그리고 파이썬을 기반으로 한 웹 프레임워크인 Django를 ToDoList 사이트, 맛집 공유 사이트, 엑셀 계산 사이트, 파일 저장 사이트의 총"
63,클라우드 네이티브 자바,조쉬 롱,책만,"풀 사이클 개발자로 진화하고 싶은 엔터프라이즈 자바 개발자가 꼭 읽어야 할 클라우드 시대의 생존 지침서!
스프링 부트, 스프링 클라우드, 클라우드 파운드리를 이용한 다양한 예제를 통해 확장성 높은"
64,JavaScript Cookbook,셸리 파워즈,교학사,『JavaScript Cookbook』은 대중적인 자바스크립트이자 모든 자바스크립트 프로그램의 기본 구성 요소인 ‘클래식 자바스크립트’와 브라우저의 경계를 허물고 새로 내장된 객체를 소개하고 새롭고 흥미로운
65,JavaScript JQuery+JQueryMolile 자바스크립트 제이쿼리+제이쿼리모바일 ,조영철,예문사,"[JavaScript JQuery+JQueryMolile]은 자바스크립트 기초 문법부터 반응형 웹, 모바일 웹 실무 프로젝트까지 다루는 실전 입문서이다. 이 책에서는 실전에서 사용할 수 있고, 여러 부분에서 사용 가능한 정돈된"
66,JavaScript가 보이는 그림책 개정증보판 ,"ANK Co., Ltd.",성안당,브라우저나 브라우저 안의 문서를 조작하기 위해 만들어진 언어인 자바스크립트는 웹의 수요가 보편화됨에 따라 웹마스터나 웹디자이너뿐 아니라 그 누구라도 한 번쯤은 공부해야 할 프로그래밍 언어가 되고 있다.
67,HTML5 & CSS3 사전 개정판 2판 ,"ANK Co., Ltd.",성안당,"웹 문서를 만드는 웹 프로그래밍 언어인 HTML Hypertext Markup Language 은 버전5로, 웹 문서의 스타일을 미리 저장해 둔 스타일시트인 CSS Cascading Style Sheet 는 레벨3로 설명하는 이 책은 웹 문서를 편집할"
68,초보자를 위한 Node.js 200제,김경록,정보문화사,"총 5개 파트 200개의 예제로 구성되어 있는 이 책은, ES6 문법과 함수형 프로그래밍을 한 번에 배우기 위해 만들어졌습니다. 웹 브라우저에서만 사용하던 스크립트 언어였던 자바스크립트를 node.js라는 엔진이"
69,자바스크립트로 서버와 클라이언트 구축하기,박정태,정보문화사,"Javascript에서 vue.js 라이브러리와 node.js를 이용하여 서버와 프론트 영역을 개발할 수 있는 책으로, 프로그래밍을 경험하지 못한 사람들도 쉽게 볼 수 있도록 최소한의 문법을 설명하고 있다. 총 네 단계로,"
70,초보자를 위한 JavaScript 200제,고재도,정보문화사,"JavaScript로 무엇이든 해낼 수 있다!

발 빠르게 진화되면서 세계에서 가장 인기 있는 언어가 된 자바스크립트를 설치부터 활용까지 예제별로 친절하게 안내하는 책이다. 본서는 총 5개의 파트 입문, 초급,"
71,XML 프로그래밍 초보자를 위한  CD1장포함 ,임동훈,내하출판사,"XML 프로그래밍 입문서. 이 책은 XML 프로그래밍 소개와 구조 및 문법, 문서 출력법과 프로젝트 만들기 등의 내용으로 구성되었다. 부록CD에는 본문의 내용이 수록되었다."
72,서블릿 JSP 자바 웹 프로그래밍 완성 에이콘 웹 프로페셔널 시리즈 52 ,부디 커니아완,에이콘출판,Servlet 3.0과 JSP 2.2 핵심을 꼭꼭 짚은『서블릿 JSP 자바 웹 프로그래밍 완성』. 이 책은 자바 웹 애플리케이션의 기반 기술인 서블릿과 JSP을 기초 이론을 설명한다. 서블릿을 처음 접하거나 서블릿의 최신
73,Selenium 웹드라이버 테스트 자동화 acorn+PACKT ,언메시 건데차,에이콘출판,"Selenium 3.1.0 버전 기준
이 책은 구글이 선택한 웹 애플리케이션 UI 자동화 테스팅 도구인 셀레늄 Selenium  웹드라이버를 사용해 웹 애플리케이션 테스트 프레임워크를 구축하는 내용을 다룬다. 셀레늄 API를"
74,HTML5 웹소켓 프로그래밍 acorn+PACKT 시리즈 ,밴고스 피터니어스,에이콘출판,"[HTML5 웹소켓 프로그래밍]은 실제로 동작하는 채팅 예제 응용프로그램 작성을 통해 웹소켓의 기능을 상세하게 설명하고 현대적인 웹 응용프로그램을 만드는 전체 과정을 안내하며, 보안 레이어를 추가하고 구형"
75,jQuery Mobile로 하는 모바일 웹 개발 acorn+PACKT 시리즈 ,레이몬드 캠든,에이콘출판,"제이쿼리 모바일 jQuery Mobile 은 모바일 웹사이트와 웹앱을 만들기 위한 HTML5 기반의 UI 프레임워크로, HTML을 이용해 단 한 줄의 자바스크립트 코딩 없이도 모바일에 최적화된 웹사이트를 만들 수 있어 UI"
76,모바일 앱 디자인 패턴 에이콘 UX 프로페셔널 시리즈 ,테레사 닐,에이콘출판,『모바일 앱 디자인 패턴』은 풍부한 실제 사례 중심으로 간단하게 상황에 맞는 디자인과 구성 패턴을 찾을 수 있도록 구성하여 모바일 애플리케이션 디자인 고민 해결에 도움이 될 수 있다. 주요 모바일
77,Learning JavaScript Data Structures and Algorithms 한국어판  acorn+PACKT 시리즈 ,로이아니 그로네르,에이콘출판,"자료 구조와 알고리즘은 프로그래밍의 기본 중의 기본이지만, 처음 공부하는 사람에게는 결코 배우기가 만만치 않고 따분할 수 있는 과목이다. 이 책 [자바스크립트 자료 구조와 알고리즘 Learning JavaScript"
78,AngularJS와 부트스트랩으로 배우는 웹 개발 acorn+PACKT 시리즈 ,스티븐 래드포드,에이콘출판,[AngularJS와 부트스트랩으로 배우는 웹 개발]을 통해 각각 구글과 트위터로 대변되는 AngluarJS와 부트스트랩을 배우고 프론트엔드 웹 서버를 구축할 수 있도록 안내한다. AngluarJS가 뼈대라면 부트스트랩은
79,AWS 클라우드 기반의 Django 웹 애플리케이션,신성진,디지털북스,"웹 애플리케이션을 구축하기 위해서는 그에 따른 개발 서버 및 웹 서버, 도메인 및 스토리지 등의 인프라를 필요로 합니다. 최근 Amazon에서는 이러한 웹 애플리케이션 개발을 위한 환경을 클라우드 서비스인"
80,D3.js 입문,후루하타 카즈히로,프리렉,데이터 + 매핑 + 디자인으로 만드는 웹의 새로운 표현력을 담은『D3.js 입문』.  데이터를 알기 쉬운 형태로 더 시각적인 모습으로 보여주려면 어떻게 하면 좋을까요? 그 대답의 하나가 바로 D3.js입니다. D3.js는
81,JavaScript Patterns 자바스크립트패턴 ,스토얀 스테파노프,인사이트,"『자바스크립트 코딩 기법과 핵심 패턴』은 다양한 자바스크립트 코딩 기법과 핵심 패턴, 최선의 관행을 소개한다. 또한 객체, 함수, 상속 그리고 자바스크립트 고유의 문제에 대한 해결책을 찾는 숙련된"
82,허드슨을 이용한 지속적 통합 ProgrammingInsight ,장윤기,인사이트,"허드슨을 이용한 지속적 통합을 다룬 책. 오픈 소스로 공개된 대표적인 지속적 통합 도구인 '허드슨 Hudson '을 기반으로 지속적 통합의 주요 과정, 허드슨 운영에 필요한 핵심 내용, 기타 플러그인 개발 등"
83,모던 자바스크립트,니콜라스 자카스,인사이트,ECMAScript 6에서는 자바스크립트 역사상 가장 핵심적인 업데이트가 이루어졌다. 이미 자바스크립트를 잘 알고 사용하고 있더라도 많은 부분을 다시 공부해야 할 만큼 개선되었다. ECMAScript 6의 기능은 새로운
84,인프라의 기본 웹 엔지니어가 알아야 할 ,바바 토시아키,한빛미디어,"『웹 엔지니어가 알아야 할 인프라의 기본』은 웹 시스템의 인프라를 중심으로 설계부터 구성, 감시, 튜닝까지 구축 단계와 운용 단계 모두에 대한 정보를 정리한 책이다. 웹 서비스를 더욱 가속화시키고 싶은"
85,한 권으로 끝내는 Node & Express,이선 브라운,한빛미디어,"동적 웹 앱을 구축하는 자바스크립트 개발 스택의 핵심은 노드와 익스프레스다. 이 책은 노드와 익스프레스 기반으로 REST API를 갖춘 웹사이트를 구축해나가면서, 동적 웹 앱 구축에 필요한 서버 사이드 기법들을"
86,자바스크립트 프로젝트북,권대용,한빛미디어,프로그래밍 언어를 공부할 때는 실무에서 많이 사용하는 코드를 조금씩 구현해보면서 익히는 것이 좋다. 이 책에서는 실무와 밀접한 내용을 다양한 유형의 웹 애플리케이션이나 UI 요소로 익힐 수 있도록 9가지
87,만약 헤밍웨이가 자바스크립트로 코딩한다면,앵거스 크롤,한빛미디어,"자바스크립트 핵심 패턴, 기법, 가이드, 효율, 성능…. 개발자의 책장에는 생산성을 높이기 위한 기술서만 잔뜩 꽂혀 있다. 숨을 돌려보자. 만약 세계 대문호들이 자바스크립트로 알고리즘 문제를 푼다면 어떻게"
88,앵귤러 첫걸음,조우진,한빛미디어,"새로운 기술을 배울 때 결과물이 없다면 쉽게 지치기 마련이다. 이 책 『앵귤러 첫걸음』은 1부 기초 다지기, 2부 기본기 향상하기, 3부 깊이 들어가기로 나누어 앵귤러를 설명하고 실제 프로젝트인 상품 관리"
